Community,MLS,Status,SizeSqFt,Price
Abbeydale,A2246772,A,1235.0,450000.0
Abbeydale,A2252528,A,1105.0,442900.0
Abbeydale,A2263640,A,981.0,419900.0
Acadia,A2232522,A,1015.0,560000.0
Acadia,A2264800,A,1003.3,550000.0
Alpine Park,A2258060,A,2317.0,775000.0
Alpine Park,A2259862,A,2221.91,749900.0
Alpine Park,A2262412,A,2563.0,749990.0
Alpine Park,A2266050,A,2585.0,924900.0
Alpine Park,A2266581,A,2730.03,939027.0
Applewood Park,A2242639,A,1274.4,480000.0
Applewood Park,A2245098,A,1167.5,475000.0
Arbour Lake,A2263985,A,1681.0,640000.0
Aspen Woods,A2259693,A,2319.74,929900.0
Auburn Bay,A2255933,A,2289.42,777777.0
Auburn Bay,A2260783,A,2542.35,824900.0
Auburn Bay,A2264889,A,1582.1,544900.0
Auburn Bay,A2265693,A,2506.82,780000.0
Banff Trail,A2257380,A,1680.24,825000.0
Bankview,A2267438,A,842.25,475000.0
Beddington Heights,A2267602,A,1211.13,473900.0
Braeside,A2260148,A,2047.1,760000.0
Braeside,A2268511,A,1138.4,568900.0
Braeside,A2270520,A,1810.7,650000.0
Brentwood,A2258828,A,1990.0,837000.0
Brentwood,A2268066,A,1721.0,799900.0
Brentwood,A2268140,A,1710.48,699000.0
Brentwood,A2269340,A,1288.66,699900.0
Bridgeland/Riverside,A2267824,A,1100.0,650000.0
Cambrian Heights,A2250995,A,2542.75,999000.0
Cambrian Heights,A2258677,A,1980.22,849000.0
Canyon Meadows,A2270061,A,1119.71,515000.0
Capitol Hill,A2268605,A,1831.0,859900.0
Capitol Hill,A2269090,A,839.59,599800.0
Capitol Hill,A2270440,A,2032.37,899900.0
Capitol Hill,A2271582,A,1383.4,649900.0
Castleridge,A2254317,A,1228.0,475000.0
Castleridge,A2261220,A,1224.0,469900.0
Castleridge,A2265295,A,1118.44,449800.0
Castleridge,A2271908,A,1108.87,429900.0
Cedarbrae,A2261496,A,1424.0,574900.0
Chaparral,A2264227,A,1683.78,615000.0
Chaparral,A2270278,A,1924.29,649998.0
Charleswood,A2250264,A,1051.7,669900.0
Charleswood,A2263934,A,1069.0,699900.0
Chinook Park,A2265208,A,1686.0,779900.0
Citadel,A2254249,A,2314.3,699900.0
Citadel,A2262359,A,1635.8,619888.0
Citadel,A2270691,A,1028.32,425000.0
Coach Hill,A2250426,A,1788.83,650000.0
Collingwood,A2256051,A,1121.0,699900.0
Collingwood,A2270680,A,1259.0,699900.0
Copperfield,A2254748,A,1666.11,539900.0
Copperfield,A2266289,A,1344.3,479999.0
Copperfield,A2267375,A,1711.46,562900.0
Copperfield,A2268080,A,1672.31,550000.0
Copperfield,A2268166,A,1929.76,599000.0
Copperfield,A2269844,A,1719.0,559900.0
Cougar Ridge,A2252424,A,1922.0,729000.0
Cougar Ridge,A2261850,A,2256.46,819999.0
Coventry Hills,A2256110,A,1656.0,549900.0
Coventry Hills,A2263409,A,1178.08,479900.0
Coventry Hills,A2264446,A,1283.0,499900.0
Coventry Hills,A2267461,A,1271.0,500000.0
Cranston,A2228840,A,1462.0,500000.0
Cranston,A2253559,A,2189.99,729900.0
Cranston,A2259805,A,2257.0,749000.0
Cranston,A2262606,A,2388.4,750000.0
Cranston,A2265076,A,1503.35,534000.0
Cranston,A2265325,A,1427.9,554900.0
Cranston,A2265962,A,1440.7,515000.0
Cranston,A2268327,A,1808.0,632000.0
Crescent Heights,A2258194,A,1110.0,600000.0
Crescent Heights,A2266217,A,1025.38,589900.0
Crestmont,A2269405,A,2204.4,749900.0
Douglasdale/Glen,A2267413,A,2380.0,749649.0
Douglasdale/Glen,A2268336,A,2298.61,700000.0
Douglasdale/Glen,A2267898,A,1832.92,575000.0
Dover,A2248935,A,1410.0,485000.0
Edgemont,A2259252,A,2847.0,929000.0
Edgemont,A2261217,A,2042.52,734990.0
Edgemont,A2266904,A,1723.15,624900.0
Edgemont,A2267185,A,1407.96,579900.0
Elbow Park,A2268377,A,1822.0,998600.0
Erin Woods,A2255156,A,1288.53,425000.0
Erin Woods,A2259734,A,1200.0,349897.0
Evanston,A2262423,A,1580.8,558000.0
Evanston,A2269309,A,1698.0,589900.0
Evanston,A2269667,A,1506.03,549777.0
Evergreen,A2259228,A,2366.42,685900.0
Evergreen,A2264395,A,2196.0,685000.0
Evergreen,A2265634,A,2458.0,749900.0
Evergreen,A2265696,A,1320.94,518800.0
Falconridge,A2258691,A,1204.78,469786.0
Falconridge,A2261626,A,1125.0,470000.0
Forest Lawn,A2250937,A,935.1,449000.0
Forest Lawn,A2254407,A,835.1,459900.0
Glamorgan,A2266312,A,986.67,585000.0
Glendale,A2242369,A,1126.0,725000.0
Glendale,A2262662,A,1135.0,749000.0
Glendale,A2270062,A,862.0,599900.0
Hamptons,A2240460,A,1890.23,739900.0
Hamptons,A2251010,A,2416.0,848000.0
Hamptons,A2255348,A,1869.38,759000.0
Hamptons,A2267985,A,1948.72,789000.0
Harvest Hills,A2269222,A,1434.22,523888.0
Harvest Hills,A2269055,A,1337.3,519900.0
Haskayne,A2233479,A,1758.57,699900.0
Hawkwood,A2268348,A,2016.0,699900.0
Haysboro,A2246065,A,1185.2,649000.0
Haysboro,A2254780,A,1536.0,699000.0
Haysboro,A2263456,A,1131.0,624900.0
Haysboro,A2265907,A,1042.0,499900.0
Hidden Valley,A2256233,A,1033.52,469900.0
Hidden Valley,A2260137,A,1743.0,575000.0
Hidden Valley,A2270836,A,1947.0,665000.0
Highland Park,A2262801,A,1192.0,579000.0
Homestead,A2244536,A,1878.29,649900.0
Homestead,A2270998,A,2002.88,600000.0
Hounsfield Heights/Briar Hill,A2267800,A,1171.6,790000.0
Huntington Hills,A2264392,A,978.0,449000.0
Huntington Hills,A2267488,A,1132.0,499000.0
Inglewood,A2251435,A,2039.0,850000.0
Killarney/Glengarry,A2255081,A,2613.25,999000.0
Killarney/Glengarry,A2268455,A,1906.91,895000.0
Kingsland,A2238186,A,1435.2,734900.0
Kingsland,A2263272,A,1997.4,899000.0
Kingsland,A2264077,A,1025.53,575000.0
Lake Bonavista,A2271031,A,1778.26,829900.0
Lakeview,A2229831,A,1054.25,715000.0
Lakeview,A2255940,A,1089.0,769900.0
Legacy,A2195231,A,1755.0,577900.0
Legacy,A2241634,A,2014.0,652900.0
Legacy,A2269806,A,1780.0,584900.0
Livingston,A2257503,A,1946.0,649900.0
Livingston,A2257737,A,1830.7,619900.0
Livingston,A2266078,A,1548.85,569000.0
Mahogany,A2251196,A,2285.5,775000.0
Mahogany,A2262774,A,2697.62,899900.0
Mahogany,A2266318,A,2824.64,925000.0
Mahogany,A2267906,A,2602.43,849900.0
Mahogany,A2268446,A,1940.0,679000.0
Mahogany,A2268735,A,2278.0,754900.0
Mahogany,A2269051,A,2248.7,734990.0
Mahogany,A2269068,A,2008.27,680000.0
Maple Ridge,A2252479,A,1509.0,775000.0
Maple Ridge,A2258153,A,2358.0,1125000.0
Maple Ridge,A2262442,A,1166.0,625000.0
Marlborough,A2266084,A,959.0,459900.0
Marlborough Park,A2260586,A,979.5,500000.0
Marlborough Park,A2267785,A,979.89,499900.0
Martindale,A2253145,A,1070.0,454999.0
Martindale,A2266293,A,804.0,399999.0
Martindale,A2269965,A,989.89,425000.0
McKenzie Lake,A2254665,A,1554.0,619000.0
McKenzie Lake,A2256813,A,2148.0,785000.0
McKenzie Lake,A2256959,A,1632.14,619000.0
McKenzie Lake,A2257660,A,1426.68,575000.0
McKenzie Lake,A2259415,A,2371.71,850000.0
McKenzie Lake,A2262179,A,2203.0,749900.0
McKenzie Lake,A2265112,A,1286.6,539000.0
McKenzie Lake,A2268942,A,1832.3,639900.0
McKenzie Towne,A2255729,A,2562.7,729000.0
McKenzie Towne,A2256969,A,1971.91,644300.0
McKenzie Towne,A2259066,A,1733.26,599000.0
McKenzie Towne,A2267228,A,1404.0,540000.0
McKenzie Towne,A2269929,A,1849.0,595000.0
Meadowlark Park,A2270556,A,1204.5,699000.0
Millrise,A2260094,A,1216.79,505900.0
Millrise,A2265881,A,1619.57,548000.0
Monterey Park,A2260496,A,1005.9,449500.0
Monterey Park,A2265443,A,1598.89,515000.0
Monterey Park,A2268752,A,1186.0,449900.0
Monterey Park,A2271569,A,1399.45,479000.0
Montgomery,A2243999,A,2035.11,777000.0
Montgomery,A2258015,A,1122.0,639900.0
NONE,A2235530,A,1961.72,699900.0
NONE,A2253834,A,1611.46,616000.0
NONE,A2258670,A,1633.8,670000.0
NONE,A2263229,A,2054.48,714900.0
NONE,A2268146,A,2071.54,724900.0
New Brighton,A2269079,A,1579.0,519000.0
North Glenmore Park,A2224779,A,1063.38,680000.0
Oakridge,A2250378,A,1132.0,620000.0
Ogden,A2267590,A,1040.0,474000.0
Ogden,A2271013,A,1025.0,379900.0
Panorama Hills,A2265812,A,2201.9,725000.0
Parkdale,A2271226,A,1993.24,899999.0
Parkland,A2269323,A,2082.6,824900.0
Penbrooke Meadows,A2263853,A,1143.5,474900.0
Pine Creek,A2249859,A,2466.0,760000.0
Pineridge,A2217421,A,1292.5,504900.0
Pineridge,A2232271,A,859.0,436000.0
Pineridge,A2256055,A,1171.0,495000.0
Queensland,A2268040,A,1173.0,499000.0
Ranchlands,A2253235,A,1571.1,595000.0
Ranchlands,A2256176,A,1185.0,515000.0
Ranchlands,A2257677,A,1444.9,524900.0
Rangeview,A2263928,A,1737.12,587895.0
Rangeview,A2270996,A,1588.0,570000.0
Richmond,A2262561,A,1378.31,549945.0
Richmond,A2264116,A,1654.0,749000.0
Riverbend,A2258906,A,1172.0,497000.0
Riverbend,A2262484,A,1735.0,599900.0
Rocky Ridge,A2226308,A,2300.56,832500.0
Rocky Ridge,A2247613,A,2355.94,720000.0
Rocky Ridge,A2256937,A,1890.3,699900.0
Rocky Ridge,A2257305,A,1891.4,679900.0
Rocky Ridge,A2269508,A,1911.0,725000.0
Royal Oak,A2239625,A,2316.0,764900.0
Royal Oak,A2261089,A,1928.0,699900.0
Rutland Park,A2248577,A,1029.06,674900.0
Saddle Ridge,A2249697,A,1682.0,559000.0
Saddle Ridge,A2258173,A,1401.0,515000.0
Saddle Ridge,A2265182,A,2506.04,719900.0
Saddle Ridge,A2270779,A,1310.39,459900.0
Sage Hill,A2262583,A,2218.8,699900.0
Sage Hill,A2271806,A,2149.72,710000.0
Sandstone Valley,A2271461,A,2446.0,699000.0
Scenic Acres,A2254055,A,2177.66,729900.0
Scenic Acres,A2262120,A,1969.0,599000.0
Shaganappi,A2271793,A,1250.0,750000.0
Shawnee Slopes,A2263464,A,2060.0,649900.0
Shawnee Slopes,A2269251,A,2940.33,849900.0
Shawnessy,A2258408,A,1712.0,570000.0
Shawnessy,A2260534,A,1074.91,449900.0
Shawnessy,A2271710,A,1000.33,449900.0
Signal Hill,A2232235,A,1945.4,844900.0
Signal Hill,A2266141,A,1787.0,799000.0
Signal Hill,A2267673,A,1661.0,769900.0
Signal Hill,A2269970,A,1337.0,600000.0
Silver Springs,A2260070,A,1249.91,560000.0
South Calgary,A2269237,A,1004.0,539900.0
Southview,A2267550,A,951.27,495000.0
Southview,A2271983,A,928.4,485000.0
